id,Locality,FIPS,Homes_Built,Population,Covid_Hospitalisations,Covid_Deaths,Covid_Cases
1,Frederick,51069,678,89790,357,150,11634
2,Clarke,51043,78,14522,59,25,1362
3,Loudoun,51107,1819,418690,1200,300,34240
4,Fairfax,51059,1013,1146163,4294,1180,92080
5,Prince William,51153,1369,468497,1988,566,55180
6,Warren,51187,191,40202,167,84,5008
7,Shenandoah,51171,0,43166,294,161,6453
8,Stafford,51179,964,153392,458,105,16054
9,Culpepper,51047,0,52494,6519,222,721
10,Rappahannock,51157,22,7320,27,4,578
11,Page,51139,80,23983,174,77,3394
12,King George,51099,165,26296,72,23,2654
13,Arlington,51013,294,242465,926,271,18661
14,Westmoreland,51193,116,17980,99,34,1879
15,Madison,51113,42,13342,37,21,995
16,Fauquier,51061,197,70996,293,86,7011
